# Object	D	S(shell_mean_acs)	sigma(acs)	S(shell_mean_wfpc2)	sigma(wfpc2)	S(Bg_acs)	sigma(Bg_acs)	S(Bg_wfpc2)	sigma(Bg_wfpc2)	S(shell_NII/Halpha)	sigma(shell_NII/Halpha)	S(Bg_NII/Halpha)	sigma(Bg_NII/Halpha)
w044-527	217.945	0.00064	0.00007	0.00046	0.00009	0.01705	0.00005	0.01463	0.00007	0.38612	0.31518	0.16573	0.00614
065-502	177.288	0.00094	0.00009	0.00076	0.00014	0.02317	0.00006	0.02023	0.00010	0.24049	0.25496	0.14550	0.00634
180-331	26.026	0.01152	0.00033	0.00924	0.00036	0.07401	0.00023	0.06824	0.00025	0.24626	0.05965	0.08447	0.00524
109-246	89.677	0.00978	0.00039	0.00749	0.00032	0.08871	0.00027	0.07762	0.00023	0.30655	0.07592	0.14277	0.00484
121-434	95.578	0.00165	0.00015	0.00604	0.00000	0.04713	0.00010	0.00000	0.00000	-0.72595	0.02431	inf	nan
w073-227	147.268	0.00315	0.00022	0.00185	0.00027	0.02903	0.00015	0.02343	0.00019	0.69934	0.27549	0.23876	0.01207
102-157	125.297	0.00099	0.00010	0.00103	0.00015	0.04226	0.00007	0.03468	0.00011	-0.04062	0.17196	0.21844	0.00430
173-236	48.956	0.06000	0.01538	0.00953	0.00281	0.12227	0.01087	0.07770	0.00199	5.29460	2.46078	0.57371	0.14563
161-324	5.360	0.01077	0.00069	0.02553	0.00657	0.14966	0.00049	0.09960	0.00464	-0.57809	0.11178	0.50272	0.07022
175-321	16.026	0.00832	0.00079	0.01199	0.01114	0.14912	0.00056	0.15381	0.00788	-0.30608	0.64802	-0.03046	0.04980
LL1	198.626	0.00872	0.00009	0.00594	0.00010	0.01981	0.00006	0.01745	0.00007	0.46731	0.02995	0.13482	0.00604
170-249	35.163	0.00116	0.00138	0.00377	0.00091	0.13210	0.00097	0.11605	0.00064	-0.69265	0.37233	0.13823	0.01050
168-328	7.861	0.00698	0.00070	0.00834	0.00997	0.12938	0.00050	0.17817	0.00705	-0.16244	1.00520	-0.27387	0.02888
w030-524	234.087	0.00042	0.00004	0.00023	0.00007	0.01404	0.00003	0.01208	0.00005	0.85059	0.57635	0.16178	0.00518
w014-414	229.954	0.00044	0.00004	0.00041	0.00007	0.00859	0.00003	0.00782	0.00005	0.06406	0.19601	0.09797	0.00753
106-245	94.703	0.00646	0.00017	0.00314	0.00020	0.07927	0.00012	0.06815	0.00014	1.05686	0.14206	0.16311	0.00300
158-323	8.310	0.01596	0.00097	0.01320	0.00112	0.16816	0.00069	0.13997	0.00079	0.20863	0.12616	0.20138	0.00838
168-326	7.712	0.02355	0.00100	0.02079	0.01239	0.16043	0.00071	0.15568	0.00876	0.13275	0.67647	0.03052	0.05816
154-240	45.303	0.00087	0.00101	-0.00103	0.00070	0.13381	0.00071	0.11337	0.00049	-1.84619	1.13447	0.18036	0.00811
178-258	32.473	0.00529	0.00066	0.00384	0.00061	0.11342	0.00047	0.10249	0.00043	0.37852	0.27904	0.10657	0.00653
173-342	23.461	0.00920	0.00054	0.00747	0.00048	0.08988	0.00039	0.08256	0.00034	0.23122	0.10790	0.08860	0.00648
163-317	6.287	0.00278	0.00110	0.00088	0.00086	0.17030	0.00078	0.15016	0.00061	2.14354	3.29085	0.13415	0.00690
w012-407	231.470	0.00044	0.00004	0.00038	0.00006	0.00910	0.00003	0.00822	0.00005	0.15835	0.22174	0.10659	0.00696
159-221	61.862	-0.00122	0.00050	-0.00061	0.00046	0.11444	0.00035	0.08436	0.00032	1.00251	1.71725	0.35659	0.00670
177-341	26.499	0.00682	0.00048	0.00553	0.00046	0.08080	0.00034	0.07333	0.00033	0.23374	0.13510	0.10183	0.00677
074-229	144.777	0.00139	0.00010	0.00000	0.00000	0.02893	0.00007	0.00000	1483299396978392430059097708223941270540691295384628952840628040641942664177961771467912863049443609863025328128.00000	inf	inf	inf	inf
154-225	59.219	0.00744	0.00073	0.00613	0.00071	0.10204	0.00052	0.08213	0.00050	0.21297	0.18497	0.24247	0.00991
083-435	140.892	0.00018	0.00005	0.00018	0.00010	0.03087	0.00003	0.02904	0.00007	0.02144	0.64281	0.06311	0.00284
167-317	8.058	0.26690	0.00934	0.02333	0.03162	0.17722	0.00661	0.12449	0.02236	10.43900	15.50846	0.42348	0.26112
168-326N	7.493	0.00573	0.00632	0.03446	0.05435	0.46748	0.00447	0.28817	0.03843	-0.83358	0.32026	0.62226	0.21690
101-233	105.936	0.00015	0.00034	0.00078	0.00028	0.06938	0.00024	0.05572	0.00020	-0.81274	0.44264	0.24498	0.00626
117-421	92.066	-0.00049	0.00017	0.00000	0.00000	0.06159	0.00012	0.00000	133267419499464382078541801394172393022784504439338856069766459253661915822702500463220244655344333208031433518725076326096916406144828965183969431155701155674002849103501150507194373025939375327920654682021555349890883626383432736604006907904.00000	-inf	inf	inf	inf
163-222	61.071	-0.00437	0.00051	-0.00306	0.00038	0.11469	0.00036	0.08637	0.00027	0.42722	0.24430	0.32779	0.00590
165-235	47.325	0.00725	0.00055	0.00160	0.00046	0.12597	0.00039	0.10635	0.00032	3.53624	1.34631	0.18452	0.00512
166-316	7.307	0.00317	0.00059	-0.00040	0.00064	0.17820	0.00041	0.15758	0.00045	-8.94364	12.82495	0.13086	0.00418
w005-514	262.718	0.00183	0.00009	0.00094	0.00007	0.00951	0.00007	0.00792	0.00005	0.95369	0.16932	0.20121	0.01090
042-628	259.592	0.00054	0.00003	0.00000	0.00000	0.00759	0.00002	0.00000	2732968522002534570986344404763717703859460980067623943340214088285578847816652763630873832091657045046454115417500021686781995804126444943760891016097766769751110682634607431256113152.00000	inf	inf	inf	inf
041-637	267.840	0.00012	0.00003	0.00009	0.00005	0.00733	0.00002	0.00592	0.00004	0.40933	0.89709	0.23759	0.00827
022-635	286.472	0.00025	0.00003	0.00005	0.00005	0.00681	0.00002	0.00550	0.00003	3.90848	4.53588	0.23765	0.00832
4582-635	333.372	0.00012	0.00003	0.00012	0.00003	0.00662	0.00002	0.00440	0.00002	-0.01768	0.33915	0.50683	0.00909
w005-514	262.637	0.00200	0.00003	0.00079	0.00005	0.00909	0.00002	0.00779	0.00004	1.53332	0.17401	0.16592	0.00635
305-811	356.860	0.00014	0.00004	0.00008	0.00005	0.00956	0.00003	0.00697	0.00004	0.85329	1.35134	0.37148	0.00831
261-3018	440.400	0.00019	0.00002	0.00011	0.00003	0.00308	0.00002	0.00196	0.00002	0.70783	0.55153	0.56931	0.02063
LL5	369.536	0.00055	0.00004	0.00032	0.00006	0.00908	0.00003	0.00670	0.00004	0.71418	0.33519	0.35585	0.00929
131-046	164.460	-0.00037	0.00032	-0.00023	0.00029	0.03832	0.00022	0.03264	0.00020	0.60666	2.40140	0.17391	0.01002
206-043	171.159	0.00031	0.00006	0.00015	0.00010	0.01718	0.00004	0.01267	0.00007	1.04490	1.41233	0.35621	0.00819
132-053	157.312	0.00046	0.00008	0.00019	0.00016	0.04558	0.00005	0.03858	0.00011	1.37902	1.99253	0.18153	0.00371
4468-605	471.300	0.00007	0.00002	0.00003	0.00004	0.00361	0.00001	0.00264	0.00003	1.32804	3.08635	0.36848	0.01419
LL3	566.331	0.00011	0.00002	0.00007	0.00004	0.00320	0.00001	0.00245	0.00003	0.61668	0.89389	0.30448	0.01465
205-230	60.385	0.00360	0.00153	-0.00078	0.00040	0.05775	0.00108	0.04814	0.00028	-5.61434	3.06524	0.19971	0.02358
w266-558	218.155	0.00179	0.00007	0.00130	0.00011	0.02503	0.00005	0.01977	0.00008	0.37407	0.12417	0.26614	0.00543
212-400	80.988	-0.00029	0.00017	0.00003	0.00018	0.05868	0.00012	0.05723	0.00013	-12.50134	82.15655	0.02532	0.00313
119-3155	515.101	0.00006	0.00001	0.00005	0.00003	0.00194	0.00001	0.00148	0.00002	0.10544	0.72585	0.30821	0.02199
138-3024	423.642	0.00004	0.00002	0.00003	0.00002	0.00217	0.00001	0.00109	0.00002	0.55538	1.45853	0.99087	0.02955
116-3101	463.921	0.00011	0.00001	0.00020	0.00011	0.00209	0.00001	0.00141	0.00008	-0.46169	0.29972	0.47952	0.08132
066-3251	587.491	0.00008	0.00002	0.00006	0.00003	0.00228	0.00001	0.00170	0.00002	0.46525	0.87826	0.34512	0.01881
203-3039	440.716	0.00009	0.00002	0.00005	0.00003	0.00244	0.00001	0.00187	0.00002	0.64763	1.12604	0.30681	0.01867
136-3057	456.925	0.00012	0.00002	0.00108	0.00010	0.00203	0.00001	0.00044	0.00007	-0.88965	0.01957	3.63296	0.75462
LL2	532.124	0.00083	0.00003	0.00058	0.00004	0.00413	0.00002	0.00321	0.00003	0.42500	0.11504	0.28505	0.01359
LL4	593.107	0.00013	0.00002	0.00008	0.00003	0.00222	0.00001	0.00169	0.00002	0.50581	0.54646	0.31449	0.01713
