Object	MIR	MIR sep	MAX	MAX sep	RSS	RSS sep	COUP	COUP sep	ACS	ACS sep	H00	H00 sep	ISOY	ISOY sep
131-046	--	--	--	--	--	--	--	--	ACS 3586	0.053	--	--	--	--
132-053	--	--	--	--	RSS 4433	0.223	COUP 528	0.278	ACS 3618	0.049	H00 682	0.341	ISOY J053513.21-052052.8	0.347
136-3057	--	--	--	--	RSS 10162	0.074	COUP 567	0.186	ACS 3764	0.152	--	--	ISOY J053513.60-053057.6	0.091
138-3024	--	--	--	--	RSS 6325	0.299	COUP 585	0.163	ACS 3756	0.029	--	--	ISOY J053513.80-053024.4	0.026
142-301	--	--	--	--	RSS 2190	0.171	--	--	ACS 3847	0.463	H00 371	0.156	--	--
154-225	MIR 35	0.418	MAX 74	0.465	RSS 4359	0.210	COUP 699	0.364	ACS 4106	0.043	H00 475	0.214	--	--
154-240	--	--	--	--	RSS 3988	0.344	--	--	ACS 4112	0.030	--	--	--	--
158-323	MIR 47	0.018	MAX 87	0.433	RSS 21404	0.012	COUP 746	0.274	ACS 4260	0.124	H00 306	0.135	ISOY J053515.79-052322.4	0.671
159-221	MIR 51	0.509	MAX 91	0.762	RSS 4471	0.108	COUP 756	0.210	ACS 4285	0.034	H00 490	0.246	--	--
160-350	MIR 53	0.180	MAX 92	0.250	RSS 10085	0.331	COUP 758	0.155	ACS 4341	0.359	H00 213	0.250	ISOY J053515.95-052350.0	0.521
161-324	MIR 55	0.092	MAX 98	0.524	--	--	--	--	ACS 4383	0.108	H00 296	0.211	--	--
162-456	--	--	--	--	RSS 4393	0.393	COUP 789	0.393	ACS 4351	0.010	H00 78	0.269	ISOY J053516.20-052456.2	0.232
163-222	--	--	--	--	RSS 3991	0.178	COUP 799	0.361	ACS 4398	0.058	H00 488	0.285	--	--
163-317	MIR 60	0.331	MAX 105	0.572	RSS 21422	0.143	COUP 787	0.172	ACS 4427	0.100	H00 322	0.123	--	--
165-235	MIR 66	0.254	--	--	RSS 4498	0.232	COUP 807	0.358	ACS 4487	0.242	H00 442	0.374	--	--
166-316	MIR 68	0.060	--	--	RSS 4558	0.195	COUP 820	0.350	ACS 4470	0.050	H00 325	0.349	--	--
167-317	MIR 70	0.015	MAX 116	0.314	RSS 10079	0.235	COUP 826	0.289	--	--	H00 323	0.329	ISOY J053516.75-052316.3	0.176
168-326	MIR 72	0.121	MAX 118	0.320	RSS 20383	0.222	--	--	ACS 4537	0.085	H00 289	0.203	--	--
168-326N	MIR 72	0.242	MAX 118	0.080	RSS 20383	0.154	--	--	ACS 4567	0.090	H00 289	0.321	--	--
168-328	MIR 71	0.067	--	--	RSS 4563	0.161	COUP 827	0.248	ACS 4552	0.125	H00 284	0.200	--	--
