Dp_1	Dp_2	N_star	N_proplyd	N_dark	N_bowshock	N_bowprop
0.0	60.0	189	58	4	18	17
60.0	120.0	251	47	8	8	8
120.0	180.0	275	40	4	8	6
180.0	240.0	193	15	1	8	6
240.0	300.0	189	10	6	8	5
300.0	360.0	215	6	0	2	2
360.0	420.0	246	3	1	1	1
420.0	480.0	259	2	1	6	2
480.0	540.0	228	2	2	5	0
540.0	600.0	214	2	1	4	2
