Dp_1	Dp_2	N_star	N_proplyd	N_dark	N_bowshock	N_bowprop
0.0	16.587	24	15	0	7	6
16.587	42.4875	93	28	2	7	7
42.4875	85.3325	182	39	4	7	7
85.3325	142.8345	232	38	6	7	7
142.8345	198.2235	245	29	4	7	5
198.2235	239.5485	131	11	1	7	5
239.5485	282.9825	139	10	4	7	5
282.9825	448.8205	643	9	3	7	3
448.8205	505.9295	240	4	2	6	2
505.9295	600.0	330	2	2	6	2
