# Object	S(Bg_f656)	S(Bg_f658)	S(Bg_f547)	S(Bg_acs_f658)	S(Bg_wfpc2_f656)	S(cont_Bg_f656)	S(cont_Bg_f658)	S(cont_Bg_f547)	S(cont_Bg_acs_f658)	S(cont_Bg_wfpc2_f656)	%(cont_Bg_f656)	%(cont_Bg_f658)	%(cont_Bg_f547)	%(cont_Bg_acs_f658)	%(cont_Bg_wfpc2_f656)
041-637	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
022-635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
4582-635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
w005-514	0.000	0.000	0.128	0.000	0.000	0.006	0.008	0.128	0.015	0.000	inf	inf	1.000	inf	inf
305-811	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
261-3018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
LL5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
131-046	1.775	0.432	0.424	0.432	1.775	0.019	0.026	0.424	0.050	0.001	0.011	0.060	1.000	0.115	0.000
206-043	0.731	0.259	0.281	0.259	0.731	0.012	0.017	0.281	0.033	0.000	0.017	0.067	1.000	0.127	0.001
132-053	2.043	0.547	0.429	0.547	2.043	0.019	0.026	0.429	0.050	0.001	0.009	0.048	1.000	0.092	0.000
4468-605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
LL3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
205-230	2.902	0.781	0.703	0.781	2.902	0.031	0.043	0.703	0.082	0.001	0.011	0.055	1.000	0.106	0.000
w266-558	1.143	0.330	0.336	0.330	1.143	0.015	0.021	0.336	0.039	0.001	0.013	0.062	1.000	0.119	0.000
212-400	3.053	0.560	0.652	0.560	3.053	0.029	0.040	0.652	0.077	0.001	0.009	0.072	1.000	0.137	0.000
119-3155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
138-3024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
116-3101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
066-3251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
203-3039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
136-3057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
LL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
LL4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	nan	0.000	0.000
