Dp_1	Dp_2	N_star	N_proplyd	N_dark	N_bowshock	N_bowprop
0.0	120.0	440	105	12	26	25
120.0	240.0	468	55	5	16	12
240.0	360.0	404	16	6	10	7
360.0	480.0	505	5	2	7	3
480.0	600.0	442	4	3	9	2
