Dp_1	Dp_2	N_star	N_proplyd	N_dark	N_bowshock	N_bowprop
0.0	15.0	19	12	0	6	6
15.0	30.0	52	17	2	4	3
30.0	45.0	57	16	0	4	4
45.0	60.0	61	13	2	4	4
60.0	75.0	62	8	2	2	2
75.0	90.0	59	19	1	2	2
90.0	105.0	66	12	1	3	3
105.0	120.0	64	8	4	1	1
120.0	135.0	53	6	0	1	1
135.0	150.0	69	16	0	3	2
150.0	165.0	67	10	0	1	1
165.0	180.0	86	8	4	3	2
180.0	195.0	52	3	0	0	0
195.0	210.0	44	4	0	2	1
210.0	225.0	49	6	1	3	3
225.0	240.0	48	2	0	3	2
240.0	255.0	49	3	3	2	2
255.0	270.0	60	6	0	4	3
270.0	285.0	29	1	1	1	0
285.0	300.0	51	0	2	1	0
300.0	315.0	44	1	0	0	0
315.0	330.0	51	2	0	0	0
330.0	345.0	57	1	0	1	1
345.0	360.0	63	2	0	1	1
360.0	375.0	63	1	0	1	1
375.0	390.0	52	1	0	0	0
390.0	405.0	68	0	1	0	0
405.0	420.0	63	1	0	0	0
420.0	435.0	60	0	0	1	0
435.0	450.0	78	0	0	2	0
450.0	465.0	74	0	1	2	1
465.0	480.0	47	2	0	1	1
480.0	495.0	59	0	1	2	0
495.0	510.0	66	2	0	1	0
510.0	525.0	57	0	0	1	0
525.0	540.0	46	0	1	1	0
540.0	555.0	49	0	1	0	0
555.0	570.0	58	0	0	1	0
570.0	585.0	51	1	0	1	1
585.0	600.0	56	1	0	2	1
