# Object	S(shell_mean_acs)	S(shell_mean_wfpc2)	sigma(acs)	sigma(wfpc2)
LL6	0.000164940511301	0.000101900058995	1.57652509271e-05	3.92646775771e-05
344-3020	8.79856803793e-05	4.6871666674e-05	1.57337745672e-05	3.61631653783e-05
362-3137	9.570405188e-05	6.98993970488e-05	1.19366305858e-05	2.78948420055e-05
308-3036	0.000111357808678	0.00107156107569	1.35758197016e-05	0.000148486890581
072-134	0.000763715538926	0.000894366388009	0.000185320059616	0.000158937176449
049-143	0.000394940736763	0.000368039075661	6.5400606258e-05	0.00153927472553
051-024	0.000140443229389	0.0	5.27605995726e-05	0.0
4578-251	0.000159460978734	0.000167261333806	3.12307399285e-05	5.07360065586e-05
w000-400	0.000351327590421	0.000273303612366	4.24805324833e-05	5.39697664692e-05
w069-601	0.00125677259996	0.000813149542648	8.46927083549e-05	7.72987799783e-05
169-338	0.00153183316175	0.00888149095125	0.000379760026513	0.0121718998357
142-301	0.0235358224584	0.0132688271807	0.00174380358857	0.00155843907634
189-329	0.0232006353761	0.0196066474824	0.00130623142938	0.00117284601947
w044-527	0.000636114033435	0.000458915709224	6.68041063541e-05	9.2553798417e-05
065-502	0.000939370947125	0.00075725689668	8.78513267993e-05	0.000138594546407
180-331	0.0115160531346	0.00924051057634	0.000325193428089	0.000357096432071
109-246	0.00978003483344	0.00748540819284	0.000386591861894	0.000318840461032
121-434	0.00165445166545	0.0	0.000146778073721	0.0
w073-227	0.00314661353903	0.00185166872506	0.000215862180096	0.000271978614756
102-157	0.00098941026011	0.00103129701752	0.000100250076573	0.000152480091098
173-236	0.060003556839	0.00953254265043	0.0153763060458	0.00281432659263
161-324	0.0107717206582	0.0255309418156	0.000686044037044	0.00656584704127
175-321	0.0	0.0	0.0	0.0
LL1	0.00872190943377	0.00594416261559	9.00790535957e-05	0.000104649427034
170-249	0.00115842148081	0.00376903173766	0.00137506551093	0.000911530175922
168-328	0.00698478968332	0.00833942386019	0.000704719704741	0.00997312962128
w030-524	0.0	0.000229144677059	0.0	6.80855908202e-05
w014-414	0.000441366705492	0.000414796420214	3.99885934225e-05	6.6529832372e-05
106-245	0.00646301029753	0.00314216903071	0.000170034291063	0.00020066201107
158-323	0.015959026615	0.0132041747422	0.000971461844246	0.00111963718798
168-326	0.0235546495807	0.0207942816432	0.00100466329804	0.0123865810939
154-240	0.000870172454602	0.0	0.00100599792154	0.0
178-258	0.0	0.0	0.0	0.0
173-342	0.00919907148838	0.00747148953435	0.00054484558399	0.000482605150831
163-317	0.00277634890107	0.000883192824164	0.00109664924551	0.000856240079479
w012-407	0.000437897141241	0.000378033736404	3.90448830639e-05	6.40352492182e-05
159-221	0.0	0.0	0.0	0.0
177-341	0.00682109212507	0.00552879731767	0.000483251936394	0.000461640721313
074-229	0.00139129386767	5.13365678011e-317	0.000101460170756	5.13340431256e-317
154-225	0.00744132837577	0.00613481405814	0.000733475871552	0.000713847234081
083-435	0.000179587612236	0.000175817804971	4.78483006146e-05	0.000100239073298
167-317	0.266897118862	0.0233322114932	0.00934459403266	0.031622173814
168-326N	0.0	0.0	0.0	0.0
101-233	0.000146686448319	0.00078335085621	0.000342619219091	0.000284679944967
117-421	0.0	5.09611322575e-317	0.0	5.13341913453e-317
163-222	0.0	0.0	0.0	0.0
165-235	0.00724973558576	0.00159818149713	0.00054643617628	0.000458772392388
166-316	0.00316579309191	0.0	0.000586645302974	0.0
w005-514	0.00183432471582	0.000938900845277	9.25981070851e-05	6.61448301847e-05
042-628	0.000543175384949	5.09242057911e-317	3.4593580558e-05	5.13343346244e-317
041-637	0.000121209728185	8.60053622863e-05	2.98703455032e-05	5.04761330179e-05
022-635	0.000247973046405	5.05193259498e-05	3.00488543088e-05	4.62813371128e-05
4582-635	0.000122634670582	0.000124841920476	2.75699021749e-05	3.27119989343e-05
w005-514	0.00200228176531	0.000790379682848	3.377704083e-05	5.26258509546e-05
305-811	0.000144654677916	7.80530442126e-05	3.6933945733e-05	5.33098944431e-05
261-3018	0.000190263811805	0.000111406872067	2.2699812606e-05	3.34327151915e-05
LL5	0.000548509286047	0.000319982702415	3.81301280911e-05	5.84809300342e-05
131-046	0.0	0.0	0.0	0.0
206-043	0.000306703021245	0.000149984670475	5.63591315575e-05	9.98551601336e-05
132-053	0.000459301344033	0.000193063552889	7.73803403162e-05	0.000158394084088
4468-605	6.60772622602e-05	2.83832485159e-05	1.52490210201e-05	3.70539986916e-05
LL3	0.000110601414197	6.84126174825e-05	2.08813081511e-05	3.55531593563e-05
205-230	0.0	0.0	0.0	0.0
w266-558	0.00179143819862	0.00130374949005	7.01615623463e-05	0.000106179950279
212-400	0.0	0.0	0.0	0.0
119-3155	6.01359576173e-05	5.43999315325e-05	1.21316741216e-05	3.39923235227e-05
138-3024	3.95633309142e-05	2.54363723943e-05	1.67861962523e-05	2.12712378793e-05
116-3101	0.000107923261108	0.000200485131051	1.22183993054e-05	0.000109295413361
066-3251	8.10346422189e-05	5.53044384864e-05	1.84257627355e-05	3.06711733326e-05
203-3039	8.83631793064e-05	5.3630542375e-05	1.89365961995e-05	3.48042221011e-05
136-3057	0.000119431446013	0.00108230945317	1.80062880241e-05	0.000101020549368
LL2	0.000832510698557	0.000584218249909	2.68509002344e-05	4.32381314305e-05
LL4	0.000125820415561	8.35564303542e-05	1.86095929323e-05	2.76898738426e-05
