# Object	h_old	Value_Bally	Value_bg_Bally	Delta	Dif_Bally	Value_Robberto	Value_bg_Robberto_f656	Dif_Robberto_f656	RA	Dec	D	PA_star	h	PA_out	PA_in	R_out	R_in	Rc_out	Rc_in	Group
189-329	0.859	47.19997	38.35084	2.75772	8.84913	nan	nan	nan	5:35:18.868	-5:23:28.88	37.556	279.7	0.856	296.4	264.0	1.397	0.538	6.318	0.833	SE
203-3039	3.623	1.00679	0.97275	0.03439	0.03404	0.01132	0.01104	0.00029	5:35:20.289	-5:30:39.38	440.716	352.4	3.06	359.4	8.2	5.384	1.761	17.897	14.501	S
204-330	0.193	25.40776	23.73507	7.9371	1.67269	0.2677	0.27662	-0.00893	5:35:20.402	-5:23:30.01	60.389	277.1	0.221	112.4	119.0	0.333	0.112	1.336	1.281	*I
206-043	0.492	6.98491	6.86317	0.21298	0.12174	0.07569	0.07576	-7e-05	5:35:20.561	-5:20:43.11	171.159	201.3	0.443	176.1	182.7	1.609	1.117	2.186	2.077	NW
212-400	0.231	23.35838	23.35675	0.90075	0.00163	0.33784	0.34062	-0.00278	5:35:21.181	-5:24:00.46	80.988	297.9	0.213	331.2	335.5	1.075	0.844	0.831	0.518	*P
261-3018	2.472	1.2977	1.23048	0.04793	0.06722	0.01216	0.01161	0.00055	5:35:26.16875	-5:30:18.01750	440.4	340.6	2.591	1.7	357.1	4.986	2.514	33.288	3.586	S
305-811	0.83	3.87871	3.82292	0.07767	0.05579	0.04154	0.04128	0.00026	5:35:30.43675	-5:28:11.23750	356.86	324.0	0.8	358.6	349.7	1.721	0.891	4.924	3.993	S
308-3036	1.118	1.26723	1.23217	0.03	0.03507	0.0137	0.01337	0.00033	5:35:30.79475	-5:30:36.25250	484.126	333.6	1.125	359.9	329.8	2.557	1.438	4.497	1.782	S
344-3020	0.986	1.49703	1.46875	0.0295	0.02828	0.01603	0.01581	0.00022	5:35:34.36275	-5:30:20.56250	496.758	327.3	0.947	334.9	325.5	1.659	0.673	3.155	4.423	S
362-3137	1.549	0.85401	0.81872	0.02242	0.0353	0.00797	0.00782	0.00014	5:35:36.34775	-5:31:37.75250	577.964	329.0	1.465	6.4	267.8	3.121	1.572	4.245	2.222	S
4285-458	nan	nan	nan	nan	nan	nan	nan	nan	5:34:28.520	-5:24:57.88	721.182	82.4	0.0	87.0	nan	1.913	nan	4.344	nan	W
4468-605	1.138	1.46605	1.44362	0.02834	0.02244	0.01582	0.01564	0.00017	5:34:46.75775	-5:26:04.81750	471.3	69.9	1.199	54.2	59.6	2.469	1.331	7.109	2.223	W
4578-251	0.659	3.00165	2.93275	0.06126	0.06891	0.03657	0.03618	0.00039	5:34:57.79275	-5:22:51.09500	279.493	96.5	0.533	81.2	125.0	1.846	1.188	3.52	2.074	NW
4582-635	0.424	2.68983	2.6366	0.12135	0.05323	0.02647	0.02589	0.00059	5:34:58.16675	-5:26:35.12750	333.372	54.7	0.455	65.7	50.5	1.106	0.682	2.931	2.056	SW
LL1	1.153	10.82417	7.83614	0.63168	2.98803	nan	nan	nan	5:35:05.63675	-5:25:19.44750	198.626	53.9	1.128	84.4	78.1	3.057	1.904	8.721	7.132	SW
LL2	1.961	1.98162	1.64726	0.06471	0.33436	0.02227	0.01895	0.00332	5:34:40.860	-5:22:42.20	532.124	94.3	1.133	97.6	89.5	4.035	2.074	27.93	13.844	W
LL3	1.835	1.32518	1.27645	0.0648	0.04874	0.01492	0.0145	0.00042	5:34:40.807	-5:26:38.54	566.331	69.8	1.83	89.2	99.6	3.119	1.284	6.544	3.085	W
LL4	0.993	0.93622	0.88541	0.03252	0.05081	0.01038	0.00999	0.00039	5:34:42.719	-5:28:37.20	593.107	58.0	0.992	46.7	40.3	2.415	1.422	11.787	4.952	W
LL5	1.506	3.83091	3.62858	0.07106	0.20232	0.04105	0.03956	0.00148	5:35:31.39775	-5:28:16.35750	369.536	322.7	1.487	339.7	339.7	2.963	1.456	11.577	3.517	S
LL6	2.002	1.60634	1.54694	0.02763	0.0594	0.01534	0.0148	0.00054	5:35:32.86575	-5:30:21.45250	485.816	329.6	2.049	7.6	18.0	3.628	1.626	29.899	14.201	S
LL7	1.466	nan	nan	nan	nan	nan	nan	nan	5:35:35.126	-5:33:49.16	686.232	335.9	1.46	359.2	3.8	6.998	5.533	17.958	10.306	S
w000-400	0.67	3.28544	3.16564	0.06684	0.1198	0.04135	0.03994	0.0014	5:34:59.56575	-5:24:00.14500	254.035	81.5	0.675	71.9	73.4	1.465	0.795	4.369	2.432	SW
w005-514	0.501	4.20737	3.62744	0.05999	0.57994	0.04995	0.04614	0.00381	5:35:00.471	-5:25:14.21	262.637	64.8	0.424	91.0	56.9	1.672	1.171	2.239	2.213	SW
w012-407	1.336	3.80317	3.6344	0.07637	0.16877	nan	nan	nan	5:35:01.17375	-5:24:06.67750	231.47	79.0	1.234	68.3	69.7	2.289	0.953	6.743	4.264	SW
w014-414	0.838	3.58592	3.42498	0.06693	0.16094	nan	nan	nan	5:35:01.37175	-5:24:13.36750	229.954	77.2	0.696	98.3	93.2	1.211	0.373	2.185	1.615	SW
w030-524	0.338	5.75068	5.60839	0.06457	0.14229	nan	nan	nan	5:35:03.00375	-5:25:24.35750	234.087	58.6	0.315	93.8	82.0	0.626	0.288	2.559	1.541	SW
w044-527	1.35	7.01087	6.78089	0.34995	0.22998	nan	nan	nan	5:35:04.427	-5:25:27.39	217.945	55.0	0.851	121.2	267.4	2.13	0.78	3.25	1.527	SW
w069-601	0.448	7.80525	7.32658	0.15199	0.47867	nan	nan	nan	5:35:06.90775	-5:26:00.57750	212.194	41.9	0.423	86.1	87.1	0.853	0.405	2.723	1.773	SW
w073-227	0.815	12.78356	11.58116	0.47323	1.20239	nan	nan	nan	5:35:07.26975	-5:22:26.49750	147.268	112.4	0.696	117.0	120.5	1.626	0.811	6.462	3.979	NW
w266-558	0.753	10.64965	9.99132	0.15489	0.65833	0.12642	0.11783	0.00859	5:35:26.618	-5:25:58.29	218.155	315.6	0.775	330.7	298.5	1.88	1.127	7.761	1.506	S
