# Object	RA	Dec	D	PA_star	h	h_old	PA_out	PA_in	R_out	R_in	Rc_out	Rc_in	Value_Bally	Value_bg_Bally	Delta	Dif_Bally	Value_Robberto	Value_bg_Robberto_f656	Dif_Robberto_f656
161-324	5:35:16.05175	-5:23:24.34750	5.360	70.1	0.350	0.360	79.5	85.6	1.268	0.909	2.979	3.116	63.38539	60.03492	2.05702	3.35047	0.76946	0.72718	0.04228
163-222	5:35:16.303	-5:22:21.47	61.071	178.8	0.356	0.430	198.9	180.1	1.538	1.108	1.805	1.549	44.14778	46.02390	1.41854	-1.87612	0.49505	0.51530	-0.02025
163-317	5:35:16.279	-5:23:16.46	6.287	164.8	0.216	0.277	166.7	144.1	2.440	2.164	2.871	2.514	69.13676	68.48918	4.21819	0.64758	0.89688	0.89082	0.00605
165-235	5:35:16.475	-5:22:35.22	47.325	181.5	0.472	0.551	197.5	193.2	1.776	1.225	3.842	3.437	53.12876	50.26978	4.69804	2.85897	0.64141	0.63100	0.01041
166-316	5:35:16.612	-5:23:16.02	7.307	207.1	0.201	0.203	145.3	153.4	0.758	0.554	1.149	1.007	72.15591	71.47672	3.25257	0.67918	0.92942	0.93347	-0.00405
167-317	5:35:16.746	-5:23:16.48	8.058	221.4	0.431	0.514	106.1	104.8	1.333	0.819	2.158	1.581	167.94201	66.33839	19.07337	101.60362	0.87149	0.86437	0.00711
168-326N	5:35:16.835	-5:23:25.97	7.493	297.4	0.112	0.119	139.3	140.9	0.225	0.106	1.044	0.790	187.52268	186.47194	3.57901	1.05074	1.96906	1.83933	0.12973
168-328	5:35:16.76475	-5:23:28.03750	7.861	314.5	0.233	0.235	312.7	310.7	1.123	0.888	1.989	1.367	53.39705	50.46761	3.71374	2.92944	1.02871	0.87565	0.15306
169-338	5:35:16.882	-5:23:38.02	17.151	334.6	0.215	0.510	249.6	21.9	1.153	0.643	1.526	0.970	45.98507	45.60460	1.26636	0.38047	0.59301	0.59464	-0.00164
170-249	5:35:16.96675	-5:22:48.43750	35.163	194.2	0.738	0.840	184.8	198.2	3.296	2.456	8.949	2.473	52.84594	50.16077	8.01456	2.68518	0.70104	0.66688	0.03415
173-236	5:35:17.352	-5:22:35.73	48.956	197.1	0.580	0.579	182.0	188.6	2.375	1.796	1.568	0.909	71.04020	58.41909	33.99660	12.62112	0.46573	0.46083	0.00490
173-342	5:35:17.32375	-5:23:41.38750	23.461	323.5	0.707	0.336	82.2	85.9	1.290	0.954	3.278	2.374	38.96898	35.82955	1.73145	3.13943	0.52909	0.48668	0.04241
168-326	5:35:16.839	-5:23:26.32	7.712	299.5	0.196	0.210	314.5	328.1	0.947	0.737	3.044	3.011	72.67345	64.17395	3.02760	8.49950	0.95333	0.84818	0.10514
175-321	5:35:17.458	-5:23:21.06	16.026	264.7	0.598	0.647	298.7	324.5	2.031	1.384	2.478	2.626	64.97197	61.57776	6.88164	3.39421	0.90874	0.84792	0.06081
177-341	5:35:17.67075	-5:23:40.85750	26.499	313.8	0.452	0.484	311.2	1.2	3.646	3.163	5.915	3.724	34.57974	32.28169	3.52831	2.29805	0.46255	0.43383	0.02873
178-258	5:35:17.819	-5:22:58.06	32.473	221.1	0.524	0.556	218.7	210.3	1.479	0.923	3.944	3.430	47.28008	45.69360	3.97348	1.58649	0.62452	0.61229	0.01222
180-331	5:35:18.044	-5:23:30.70	26.026	288.3	0.336	0.348	285.9	274.9	1.540	1.191	2.263	2.251	33.66978	29.37365	0.98675	4.29613	0.45206	0.39826	0.05380
189-329	5:35:18.868	-5:23:28.88	37.556	279.7	0.856	0.859	296.4	264.0	1.397	0.538	6.318	0.833	47.19997	38.35084	2.75772	8.84913	0.63799	0.52809	0.10990
LL1	5:35:05.63675	-5:25:19.44750	198.626	53.9	1.128	1.153	84.4	78.1	3.057	1.904	8.721	7.132	10.82417	7.83614	0.63168	2.98803	0.13365	0.10267	0.03098
w005-514	5:35:00.46775	-5:25:14.29750	262.718	64.8	0.437	0.450	64.5	57.9	1.651	1.201	3.449	2.032	4.34164	3.77121	0.14796	0.57043	0.05147	0.04667	0.00480
w012-407	5:35:01.17375	-5:24:06.67750	231.470	79.0	1.234	1.336	68.3	69.7	2.289	0.953	6.743	4.264	3.80317	3.63440	0.07637	0.16877	0.05073	0.04863	0.00211
w014-414	5:35:01.37175	-5:24:13.36750	229.954	77.2	0.696	0.838	98.3	93.2	1.211	0.373	2.185	1.615	3.58592	3.42498	0.06693	0.16094	0.04862	0.04625	0.00237
w044-527	5:35:04.427	-5:25:27.39	217.945	55.0	0.851	1.350	121.2	267.4	2.130	0.780	3.250	1.527	7.01087	6.78089	0.34995	0.22998	0.08877	0.08624	0.00253
w069-601	5:35:06.90775	-5:26:00.57750	212.194	41.9	0.423	0.448	86.1	87.1	0.853	0.405	2.723	1.773	7.80525	7.32658	0.15199	0.47867	0.09599	0.09137	0.00462
w030-524	5:35:03.00375	-5:25:24.35750	234.087	58.6	0.315	0.338	93.8	82.0	0.626	0.288	2.559	1.541	5.75068	5.60839	0.06457	0.14229	0.07304	0.07173	0.00131
w073-227	5:35:07.26975	-5:22:26.49750	147.268	112.4	0.696	0.815	117.0	120.5	1.626	0.811	6.462	3.979	12.78356	11.58116	0.47323	1.20239	0.14904	0.13845	0.01059
131-046	5:35:13.05537	-5:20:45.78625	164.460	162.4	2.168	2.548	140.3	144.2	3.546	0.999	7.325	5.645	15.00281	15.32830	2.92449	-0.32549	-	-	-
132-053	5:35:13.202	-5:20:52.59	157.312	162.4	0.392	0.401	153.9	167.0	0.718	0.317	1.803	0.676	18.36519	18.21818	0.38560	0.14701	0.22867	0.22850	0.00017
206-043	5:35:20.561	-5:20:43.11	171.159	201.3	0.443	0.492	176.1	182.7	1.609	1.117	2.186	2.077	6.98491	6.86317	0.21298	0.12174	0.07606	0.07532	0.00074
102-021	5:35:10.1870	-5:20:20.921	203.865	153.0	0.291	0.289	178.0	178.5	0.678	0.389	1.409	0.847	9.99969	9.65305	0.08734	0.34664	-	-	-
204-330	5:35:20.40175	-5:23:30.00750	60.385	277.1	0.295	0.193	115.7	114.9	0.325	0.133	1.336	1.007	25.40776	23.73507	7.93710	1.67269	0.32456	0.31862	0.00594
212-400	5:35:21.181	-5:24:00.46	80.988	297.9	0.213	0.231	331.2	335.5	1.075	0.844	0.831	0.518	23.35838	23.35675	0.90075	0.00163	0.33293	0.33175	0.00117
w266-558	5:35:26.618	-5:25:58.29	218.155	315.6	0.775	0.753	330.7	298.5	1.880	1.127	7.761	1.506	10.64965	9.99132	0.15489	0.65833	0.12396	0.11689	0.00707
261-3018	5:35:26.16875	-5:30:18.01750	440.400	340.6	2.591	2.472	1.7	357.1	4.986	2.514	33.288	3.586	1.29770	1.23048	0.04793	0.06722	-	-	-
305-811	5:35:30.43675	-5:28:11.23750	356.860	324.0	0.800	0.830	358.6	349.7	1.721	0.891	4.924	3.993	3.87871	3.82292	0.07767	0.05579	0.04166	0.04130	0.00036
LL5	5:35:31.39775	-5:28:16.35750	369.536	322.7	1.487	1.506	339.7	339.7	2.963	1.456	11.577	3.517	3.83091	3.62858	0.07106	0.20232	0.04135	0.03961	0.00173
308-3036	5:35:30.79475	-5:30:36.25250	484.126	333.6	1.125	1.118	359.9	329.8	2.557	1.438	4.497	1.782	1.26723	1.23217	0.03000	0.03507	-	-	-
344-3020	5:35:34.36275	-5:30:20.56250	496.758	327.3	0.947	0.986	334.9	325.5	1.659	0.673	3.155	4.423	1.49703	1.46875	0.02950	0.02828	-	-	-
362-3137	5:35:36.34775	-5:31:37.75250	577.964	329.0	1.465	1.549	6.4	267.8	3.121	1.572	4.245	2.222	0.85401	0.81872	0.02242	0.03530	0.00860	0.00820	0.00040
LL6	5:35:32.86575	-5:30:21.45250	485.816	329.6	2.049	2.002	7.6	18.0	3.628	1.626	29.899	14.201	1.60634	1.54694	0.02763	0.05940	-	-	-
049-143	5:35:04.945	-5:21:42.92	197.821	120.2	0.560	0.549	103.1	139.0	1.173	0.625	4.178	0.662	7.95741	7.81660	0.21904	0.14081	-	-	-
051-024	5:35:05.131	-5:20:24.32	245.010	136.7	0.269	0.292	136.5	123.6	1.186	0.895	2.287	1.663	6.38142	6.34230	0.15466	0.03913	-	-	-
072-134	5:35:07.20375	-5:21:34.29500	174.737	128.3	2.419	2.429	89.7	94.5	4.690	2.261	17.626	7.286	12.93193	12.63087	0.31066	0.30106	-	-	-
4578-251	5:34:57.79275	-5:22:51.09500	279.493	96.5	0.533	0.659	81.2	125.0	1.846	1.188	3.520	2.074	3.00165	2.93275	0.06126	0.06891	0.03702	0.03619	0.00082
w000-400	5:34:59.56575	-5:24:00.14500	254.035	81.5	0.675	0.670	71.9	73.4	1.465	0.795	4.369	2.432	3.28544	3.16564	0.06684	0.11980	-	-	-
066-3251	5:35:06.56919	-5:32:51.43000	587.491	14.5	0.000	0.000	300.1	-	1.068	-	1.588	-	0.94320	0.91176	0.03996	0.03144	-	-	-
116-3101	5:35:11.65419	-5:31:01.03000	463.921	8.8	0.440	0.449	24.0	7.9	1.452	1.004	2.695	1.574	0.86913	0.83316	0.02040	0.03597	-	-	-
119-3155	5:35:11.926	-5:31:53.30	515.101	7.4	1.002	1.065	33.3	35.3	3.015	1.951	6.727	5.110	0.79579	0.77475	0.01970	0.02103	0.00906	0.00877	0.00029
136-3057	5:35:13.60719	-5:30:57.56000	456.925	5.2	4.510	5.226	10.9	4.4	10.133	4.907	18.706	10.203	0.85500	0.81089	0.03269	0.04411	-	-	-
138-3024	5:35:13.79919	-5:30:24.40000	423.642	5.2	1.107	1.148	22.2	17.4	3.893	2.744	8.539	4.787	0.88077	0.86639	0.03020	0.01438	0.00656	0.00646	0.00010
203-3039	5:35:20.289	-5:30:39.38	440.716	352.4	3.060	3.623	359.4	8.2	5.384	1.761	17.897	14.501	1.00679	0.97275	0.03439	0.03404	-	-	-
098-753	5:35:09.8404	-5:27:53.099	287.703	19.9	2.217	4.910	320.9	93.9	8.963	4.052	17.165	8.418	1.92979	2.02012	0.10266	-0.09033	-	-	-
4417-653	5:34:41.699	-5:26:52.92	559.124	67.9	0.452	0.471	57.3	49.8	1.194	0.723	2.897	1.673	1.11173	1.09599	0.03183	0.01574	-	-	-
4468-605	5:34:46.75775	-5:26:04.81750	471.300	69.9	1.199	1.138	54.2	59.6	2.469	1.331	7.109	2.223	1.46605	1.44362	0.02834	0.02244	0.01577	0.01566	0.00011
4491-627	5:34:49.066	-5:26:26.51	447.584	65.7	0.790	0.827	72.3	76.4	2.017	1.189	4.170	2.446	1.42804	1.40346	0.02660	0.02458	-	-	-
4505-336	5:34:50.492	-5:23:35.28	386.952	88.1	0.661	0.689	99.8	99.5	1.622	0.932	3.493	1.975	1.83333	1.77503	0.03587	0.05830	-	-	-
4520-419	5:34:52.008	-5:24:18.73	368.411	81.2	0.320	0.313	84.3	85.2	1.387	1.074	2.921	2.296	1.71187	1.69129	0.03533	0.02058	-	-	-
LL3	5:34:40.807	-5:26:38.54	566.331	69.8	1.830	1.835	89.2	99.6	3.119	1.284	6.544	3.085	1.32518	1.27645	0.06480	0.04874	-	-	-
LL2	5:34:40.860	-5:22:42.20	532.124	94.3	1.133	1.961	97.6	89.5	4.035	2.074	27.930	13.844	1.98162	1.64726	0.06471	0.33436	-	-	-
LL4	5:34:42.719	-5:28:37.20	593.107	58.0	0.992	0.993	46.7	40.3	2.415	1.422	11.787	4.952	0.93622	0.88541	0.03252	0.05081	0.01044	0.00999	0.00045
364-411	5:35:36.441	-5:34:11.08	714.326	335.2	0.000	0.000	341.1	-	3.044	-	6.499	-	-	-	-	-	-	-	-
LL7	5:35:35.126	-5:33:49.16	686.232	335.9	1.460	1.466	359.2	3.8	6.998	5.533	17.958	10.306	-	-	-	-	0.00615	0.00580	0.00035
